Sr. No.,OD,Count,Corrected OD,Zone No,Match Status
1396,Defense Colony,1,Defence Colony,14,AI Match (92%)
1397,Sangam Vihar 16 Number Gali,1,Sangam Vihar,292,Alias Match
1398,Malvi Nagar,1,Malviya Nagar,13,AI Match (91%)
1399,Uday Park South Extension,1,South Extension,12,Alias Match
1400,Karan Gate,1,Nill,-,Unmatched
1401,Zamrudpur Greater Kelash,1,Nill,-,Unmatched
1402,Naroji Nagar,1,Nauroji Nagar,213,AI Match (96%)
1403,Delhi Kent,1,Delhi Cantonment,215,AI Match (76%)
1404,Kanpur Gaon,1,Nill,-,Unmatched
1405,Amar Vihar,1,Mayur Vihar,234,AI Match (85%)
1406,Vasundhra,1,Nill,-,Unmatched
1407,Purana Quila,1,Nill,-,Unmatched
1408,Sadatpur,1,Badarpur,283,AI Match (75%)
1409,Gurgaon Sector 38,1,Gurgaon Sector 38,Outside,Outside Delhi
1410,Dwarka Sector 19 Pkt -3,1,Dwarka,246,Alias Match
1411,Sunheri Pulla Depot,1,Nill,-,Unmatched
1412,Punjabi Hot,1,Punjabi Bagh,141,AI Match (78%)
1413,Sri Fort Road New Delhi,1,Nill,-,Unmatched
1414,Shankar Nagar,1,Sant Nagar (East of Kailash),10,AI Match (78%)
1415,Khirjabad,1,Nill,-,Unmatched
1416,Uttam Nagar Terminal (Out Gate),1,Uttam Nagar,225,Alias Match
1417,Mohan Nagar Ghaziabad,1,Mohan Nagar Ghaziabad,Outside,Outside Delhi
1418,Fatehpuri,1,Nill,-,Unmatched
1419,Pul Mithaai,1,Nill,-,Unmatched
1420,Chawla,1,Chhawla,276,AI Match (92%)
1421,Gagan Cinema,1,Nill,-,Unmatched
1422,Ip Estate,1,Nill,-,Unmatched
1423,Kakrola,1,Kakraula,244,AI Match (80%)
1424,Vivekanand Marg,1,Nill,-,Unmatched
1425,Bhopura Theka,1,Nill,-,Unmatched
1426,Sarol,1,Nill,-,Unmatched
1427,Huaz Khas Village,1,Hauz Khas Village,8,AI Match (94%)
1428,Dhankot,1,Nill,-,Unmatched
1429,Gtb Nagar,1,GTB Nagar,62,Alias Match
1430,Railway Colony,1,Kailash Colony,9,AI Match (78%)
1431,Chatar Pur,1,Chhatarpur,290,AI Match (90%)
1432,Zamrudpur Market,1,Nill,-,Unmatched
1433,Khora Colony,1,INA Colony,213,AI Match (75%)
1434,Sector 37 Gurugram,1,Sector 37 Gurugram,Outside,Outside Delhi
1435,Narouji Nagar,1,Nauroji Nagar,213,AI Match (92%)
1436,Vikashpuri,1,Vikaspuri,210,AI Match (94%)
1437,Dwarka Sector 19 Pkt 3,1,Dwarka,246,Alias Match
1438,Saheed Nagar,1,Sadh Nagar,248,AI Match (81%)
1439,Pasonda,1,Nill,-,Unmatched
1440,Kartavya Bhavan,1,Nill,-,Unmatched
1441,Pahladpur,1,Nill,-,Unmatched
1442,Delhi Cantt Railway Station,1,Delhi Cantonment,215,Alias Match
1443,Gurgaun Sector 15,1,Nill,-,Unmatched
1444,Saket Village,1,Saket,16,Alias Match
1445,Sector 112 Gurugram,1,Sector 112 Gurugram,Outside,Outside Delhi
1446,Gurgaon Sector 18,1,Gurgaon Sector 18,Outside,Outside Delhi
1447,Noida Sec 62,1,Noida Sec 62,Outside,Outside Delhi
1448,Lajpat Nagar Up,1,Lajpat Nagar Up,Outside,Outside Delhi
1449,Mundka,1,Mundaka,113,AI Match (92%)
1450,Shstri Park,1,Shastri Nagar,131,AI Match (75%)
1451,Gurgaun Sector 18,1,Nill,-,Unmatched
1452,Millennium City Gur,1,Nill,-,Unmatched
1453,Green Park Metro Station,1,Green Park,8,Alias Match
1454,Ghantaghar,1,Nill,-,Unmatched
1455,Dwarka Sector 19 Pocket 3,1,Dwarka,246,Alias Match
1456,Mansarovar Park,1,Nill,-,Unmatched
1457,Gurugram Sec_14,1,Gurugram Sec 14,Outside,Outside Delhi
1458,Shivaji Park,1,Nill,-,Unmatched
1459,Madang Giri,1,Nill,-,Unmatched
1460,Jasolabad,1,Jasola Vihar,273,AI Match (80%)
1461,Rajasthan Alwer,1,Rajasthan Alwer,Outside,Outside Delhi
1462,Alwar,1,Alwar,Outside,Outside Delhi
1463,Kokla,1,Okhla,268,AI Match (80%)
1464,R.K. Puram Sector 1,1,R.K. Puram,216,Alias Match
1465,Isbt Kashmiri Gate Terminal,1,ISBT Kashmere Gate,153,Alias Match
1466,Lodhi Colony/ Lodhi Road Colony,1,Lodhi Colony,212,Alias Match
1467,Jakhira,1,Nill,-,Unmatched
1468,Meb Sarai Village,1,Ali Village,283,AI Match (77%)
1469,Begampur,1,Begumpur,34,AI Match (87%)
1470,Sangam Vihar E-Block,1,Sangam Vihar,292,Alias Match
1471,Teen Murti,1,Nill,-,Unmatched
1472,Kama Rajasthan,1,Kama Rajasthan,Outside,Outside Delhi
1473,Badarpur Borders,1,Badarpur,283,Alias Match
1474,Shankar Chauk,1,Nill,-,Unmatched
1475,Navjeevan Vihar,1,Nill,-,Unmatched
1476,Hauz Khas Market,1,Hauz Khas,8,Alias Match
1477,Mehrauli Road,1,Mehrauli,278,Alias Match
1478,Asothar Fatehpur,1,Nill,-,Unmatched
1479,Badar Puri Border,1,Badar Pur,284,Sub-Ward Match
1480,Saket Matro Station,1,Saket,16,Alias Match
1481,(Dehli) Minto Road Terminal,1,Minto Road,192,Sub-Ward Match
1482,Bahadurgarh New Bus Stand,1,Bahadurgarh New Bus Stand,Outside,Outside Delhi
1483,(Dehli) Devoli Village,1,Ali Village,283,AI Match (77%)
1484,Bagpat,1,Nill,-,Unmatched
1485,Bijwassn,1,Bijwasan,271,AI Match (87%)
1486,Bhawanipur,1,Bhajanpura,81,AI Match (80%)
1487,Chhatarpur Extensions,1,Chhatarpur,282,Alias Match
1488,Tulakabad,1,Tughlakabad,281,AI Match (90%)
1489,Chhatarpur Enclave,1,Chhatarpur Enclave,282,Alias Match
1490,Kishangarh Ward Number 3,1,Kishangarh,283,Sub-Ward Match
1491,Mehrauli Market,1,Mehrauli,278,Alias Match
1492,Mehrauli Village,1,Mehrauli,278,Alias Match
1493,Adhchini Village,1,Ali Village,283,AI Match (77%)
1494,Nardana,1,Naraina,204,AI Match (85%)
1495,Asthal Mandir,1,Nill,-,Unmatched
1496,Zakhira,1,Nill,-,Unmatched
1497,Rangpuri Pahari,1,Nill,-,Unmatched
1498,Ruchi Bihar,1,Nill,-,Unmatched
1499,Masudpur Village,1,Ali Village,283,AI Match (77%)
1500,Ghitorni Metro Station,1,Ghitorni,282,Alias Match
1501,Qutub Minar Metro Station,1,Mehrauli (Qutub Minar),278,Alias Match
1502,Sunny Dham Mandir,1,Nill,-,Unmatched
1503,Jasola Nagar,1,Jasola Vihar,273,Alias Match
1504,Gb Road,1,Nill,-,Unmatched
1505,Badrk Puram,1,R.K. Puram,216,AI Match (84%)
1506,Indira Gandhi National Open University,1,National Park (Lajpat Nagar),6,AI Match (76%)
1507,Chiral Dhali,1,Chirag Delhi,14,AI Match (75%)
1508,Vinay Nagar Faridabad,1,Vinay Nagar Faridabad,Outside,Outside Delhi
1509,21 Sector Gurgaon,1,21 Sector Gurgaon,Outside,Outside Delhi
1510,Pritampura,1,Pitampura,66,AI Match (94%)
1511,Hauz Rani Park,1,Hauz Rani,16,Alias Match
1512,Mittal Chowk,1,Nill,-,Unmatched
1513,Anand Parvat Terminal,1,Nill,-,Unmatched
1514,R. K. Puram,1,R.K. Puram,216,Alias Match
1515,R.K. Puram,1,R.K. Puram,216,Alias Match
1516,Jashola Vihar,1,Jasola Vihar,273,AI Match (96%)
1517,Jagpura,1,Jungpura,14,AI Match (80%)
1518,Ramkirsan Puram,1,R.K. Puram,216,AI Match (76%)
1519,Indragandi Hospital,1,Nill,-,Unmatched
1520,Sakha Sarye,1,Nill,-,Unmatched
1521,Jindal Bail School,1,Nill,-,Unmatched
1522,Sastri Park,1,Shastri Nagar,131,AI Match (75%)
1523,Nvc Plaza,1,Nill,-,Unmatched
1524,Madngiri,1,Madangir,21,AI Match (87%)
1525,Sector 58 Gurugram,1,Sector 58 Gurugram,Outside,Outside Delhi
1526,Majnu Ka Thela,1,Majnu Ka Tila,120,AI Match (88%)
1527,Gurgaon Sector 19,1,Gurgaon Sector 19,Outside,Outside Delhi
1528,Anad Vihar,1,Anand Vihar,151,AI Match (95%)
1529,Hanuman Mandir,1,Nill,-,Unmatched
1530,Morigat,1,Nill,-,Unmatched
1531,Ram Vihar,1,Vikram Vihar (Lajpat Nagar),6,AI Match (85%)
1532,Bhairav Mandir,1,Nill,-,Unmatched
1533,Punjabi Bagh Crossing,1,Punjabi Bagh,164,Alias Match
1534,City Mall Saket,1,Saket,16,Alias Match
1535,Shiv Park,1,Nill,-,Unmatched
1536,Madipur Jj Colony Metro Station,1,Madipur,136,Sub-Ward Match
1537,Muradnagar,1,Nill,-,Unmatched
1538,Hauz Rani,1,Hauz Rani,16,Alias Match
1539,Sainik 1 Number Gate,1,Nill,-,Unmatched
1540,Kr Puram Sector 1,1,R.K. Puram,216,AI Match (76%)
1541,Khajuri Khas,1,Khajoori Khas,67,AI Match (88%)
1542,Iipm Sector 18 Gurgaon,1,Iipm Sector 18 Gurgaon,Outside,Outside Delhi
1543,Lodi Colony,1,Lodhi Colony,212,AI Match (95%)
1544,Karkarduma,1,Nill,-,Unmatched
1545,Shyamlal College,1,Nill,-,Unmatched
1546,Purana Qila,1,Nill,-,Unmatched
1547,"Sarhol, Gurgaon",1,Sarhol Gurgaon,Outside,Outside Delhi
1548,Sadiq Nagar Water Tank,1,Nill,-,Unmatched
1549,Azadapur Mandi,1,Nill,-,Unmatched
1550,Shyam Lal College Shahdara,1,Shahdara,232,Alias Match
1551,Pamposh Inclave,1,Nill,-,Unmatched
1552,Shyamlal College Shahdara,1,Shahdara,232,Alias Match
1553,Welcome Shahdara,1,Shahdara,232,Alias Match
1554,Pvr Anupma Saket,1,Saket,16,Alias Match
1555,Cyber City Gurgaon,1,Cyber City Gurgaon,Outside,Outside Delhi
1556,Bahadurpur Border Terminal,1,Nill,-,Unmatched
1557,Press Nagar,1,Prem Nagar,73,AI Match (85%)
1558,Lado Sarai Crossing,1,Nill,-,Unmatched
1559,Narandana,1,Naraina,204,AI Match (75%)
1560,Basantpur,1,Nill,-,Unmatched
1561,Shiv Vihar,1,Shiv Vihar,48,Exact Ward Match
1562,Madangiri Madangiri,1,Madangir,21,Sub-Ward Match
1563,Alipur,1,Alipur,31,Exact Ward Match
1564,Khurja,1,Nill,-,Unmatched
1565,Salempor,1,Nill,-,Unmatched
1566,Older Railway Station,1,Hazrat Nizamuddin Railway Station,14,AI Match (83%)
1567,Hapur,1,Hapur,Outside,Outside Delhi
1568,Tonica City,1,Nill,-,Unmatched
1569,Old Bas Stand Gaziyabad,1,Nill,-,Unmatched
1570,Gautam Buddha Nagar,1,Nill,-,Unmatched
1571,Mayur Vihar -1,1,Mayur Vihar,234,Alias Match
1572,Masjid Moth Phase 1,1,Nill,-,Unmatched
1573,Jagannath Mandir,1,Nill,-,Unmatched
1574,Honda Chowk,1,Chandni Chowk,153,AI Match (75%)
1575,Bhim Nagar,1,Hari Nagar,206,AI Match (80%)
1576,Rama Road Bisleri Company,1,Nill,-,Unmatched
1577,Adchini,1,Nill,-,Unmatched
1578,Matiya,1,Matiala,252,AI Match (76%)
1579,Chhattarpur Metro,1,Nill,-,Unmatched
1580,Taj Palace,1,Nill,-,Unmatched
1581,Santo Pol School,1,Nill,-,Unmatched
1582,Iti Colony,1,Nimri Colony,117,AI Match (81%)
1583,Devil,1,Deoli,26,AI Match (80%)
1584,Vasant Vihar Depot,1,Vasant Vihar,269,Alias Match
1585,Nangal Dewat Village,1,Ali Village,283,AI Match (77%)
1586,Belsarai,1,Ber Sarai,269,AI Match (82%)
1587,Ip Extensions Pratapgarh,1,Nill,-,Unmatched
1588,Mukandpur,1,Mukund Pur,36,AI Match (84%)
1589,Vinoba Puri Metro Station,1,Nill,-,Unmatched
1590,Sadarpur,1,Badarpur,283,AI Match (87%)
1591,Mayurka,1,Nill,-,Unmatched
1592,Hisar,1,Nill,-,Unmatched
1593,Gulmohar Enclave,1,Mahavir Enclave,243,AI Match (77%)
1594,Madanpur Khadar Terminal,1,Madanpur Khadar,283,Alias Match
1595,Sikandarbad,1,Nill,-,Unmatched
1596,Khair,1,Nill,-,Unmatched
1597,Delhi Ajmeri Gate,1,Nill,-,Unmatched
1598,Amroha,1,Nill,-,Unmatched
1599,Modi Nagar,1,Moti Nagar,138,AI Match (90%)
1600,Green,1,Green Park,8,AI Match (100%)
1601,Greater Noida West,1,Greater Noida West,Outside,Outside Delhi
1602,Indian Gate,1,Nill,-,Unmatched
1603,Khanpur Khan,1,Khanpur,26,Alias Match
1604,West Delhi,1,Nill,-,Unmatched
1605,Katoria Sarai,1,Katwaria Sarai,269,AI Match (88%)
1606,Delhi Sachivalaya,1,Nill,-,Unmatched
1607,Chattarpur Chat,1,Chhatarpur,290,AI Match (80%)
1608,Shalimar Bagh,1,Shalimar Bagh,57,Alias Match
1609,Vasant Vihar(Delhi),1,Vasant Vihar,269,Alias Match
1610,Maruti Kung,1,Nill,-,Unmatched
1611,Mumbai,1,Nill,-,Unmatched
1612,Aazadpur,1,Nill,-,Unmatched
1613,Dhaskhinpuri,1,Dakshinpuri,18,AI Match (86%)
1614,Frends Caloni,1,New Friends Colony,14,AI Match (81%)
1615,Khanpur School,1,Khanpur,26,Alias Match
1616,Krishna Nager,1,Krishna  Nagar,154,AI Match (92%)
1617,Khewli Kanpur,1,Nill,-,Unmatched
1618,Sabdarjn Hospital,1,Safdarjung Hospital,218,AI Match (88%)
1619,Defance Colani,1,Defence Colony,14,AI Match (78%)
1620,Saaket,1,Saket,16,AI Match (90%)
1621,Pushpa Bhavan Thank U Bhai,1,Nill,-,Unmatched
1622,Lajpat Bhavan,1,Lajpat Nagar,6,Alias Match
1623,Jamiya Milya Islimya,1,Nill,-,Unmatched
1624,Noide (Sec-10),1,Nill,-,Unmatched
1625,Dakshinpuri Ambedker Nagar,1,Dakshinpuri,18,Alias Match
1626,"Lajpat Nagar, Delhi",1,Lajpat Nagar,6,Alias Match
1627,Malwanagar,1,Malviya Nagar,13,AI Match (78%)
1628,Sri Nivaspuri,1,Sri Niwaspuri,266,AI Match (92%)
1629,Cng Pump,1,Nill,-,Unmatched
1630,Dashapuri,1,Dakshinpuri,18,AI Match (80%)
1631,Pencil Pack,1,Nill,-,Unmatched
1632,Sadignager,1,Nill,-,Unmatched
1633,Phoolchand,1,Nill,-,Unmatched
1634,Aliganj,1,Malkaganj,130,AI Match (75%)
1635,"Hauz Khas, Delhi",1,Hauz Khas,8,Alias Match
1636,Dakshinpuri 2 No Block,1,Dakshinpuri,18,Alias Match
1637,Kannur,1,Khanpur,24,AI Match (76%)
1638,Sardar Patel Vidalya Delhi,1,Nill,-,Unmatched
1639,Aims (Hospital),1,AIIMS (Ansari Nagar),218,AI Match (96%)
1640,Cabint Secatryi East Blok1,1,Nill,-,Unmatched
1641,Gurugram Sec 49,1,Gurugram Sec 49,Outside,Outside Delhi
1642,"Moolchand, Delhi",1,Nill,-,Unmatched
1643,Vidya Niketan School Mehrauli Badarpur,1,Badarpur,283,Alias Match
1644,Vidyaniketan School,1,Nill,-,Unmatched
1645,Basant Bihar,1,Vasant Vihar,269,AI Match (83%)
1646,Sushant Lok,1,Nill,-,Unmatched
1647,Vidya Nikaten Public School,1,Nill,-,Unmatched
1648,"Vasant Vihar, Delhi",1,Vasant Vihar,269,Alias Match
1649,"Jammodpur, Delhi",1,Nill,-,Unmatched
1650,Laxmi Vihar,1,Nill,-,Unmatched
1651,Gautam Nagar Delhi,1,Nill,-,Unmatched
1652,Gurdara Sin Shaba,1,Nill,-,Unmatched
1653,Lado Sarai Firkani Road,1,Nill,-,Unmatched
1654,"Okhla Vihar, Delhi",1,Okhla,287,Alias Match
1655,Ancaniri Nagar,1,Hari Nagar,206,AI Match (75%)
1656,Sangam Vihar Ka Dwarka,1,Sangam Vihar,292,Alias Match
1657,Vasant Puri Delhi,1,Nill,-,Unmatched
1658,Defence Colony Delhi,1,Defence Colony,14,Alias Match
1659,Grugram Damadam Lake,1,Nill,-,Unmatched
1660,Caja,1,Nill,-,Unmatched
1661,Saket Delhi Bhai Sahab,1,Saket,16,Alias Match
1662,Aanandbihar,1,Anand Vihar,151,AI Match (81%)
1663,Dakshinpuri Delhi,1,Dakshinpuri,18,Alias Match
1664,Rajghat Delhi,1,Nill,-,Unmatched
1665,Igi Delhi,1,IIT Delhi,8,AI Match (88%)
1666,Archana,1,Nill,-,Unmatched
1667,Jorbagh Delhi,1,Nill,-,Unmatched
1668,Silampur,1,Seelampur,240,AI Match (82%)
1669,Hudgu Delhi,1,Nill,-,Unmatched
1670,Chanakya Puri,1,Chanakyapuri,217,AI Match (96%)
1671,Noide (Sector 62),1,Nill,-,Unmatched
1672,Lohdhi Garden,1,Nill,-,Unmatched
1673,Birla Vidyalay Niketan,1,Nill,-,Unmatched
1674,Noide (Sector 36),1,Nill,-,Unmatched
1675,Mubarakapur,1,Nill,-,Unmatched
1676,R.K Puram (Sector 1),1,R.K. Puram,216,Alias Match
1677,Sarai Hospital,1,AIIMS (Ansari Nagar),218,AI Match (78%)
1678,"Saket, Delhi",1,Saket,16,Alias Match
1679,Dakshin Pur,1,Dakshinpuri,18,AI Match (90%)
1680,Cannaoght Place Delhi,1,Nill,-,Unmatched
1681,Rohini Sec 18,1,Rohini,44,Alias Match
1682,Rastrapati Bhavan,1,Nill,-,Unmatched
1683,Dakshin Purv,1,Dakshinpuri,18,AI Match (86%)
1684,Sheikhpura,1,Nill,-,Unmatched
1685,Ambedkar Nagar Delhi,1,Ambedkar Nagar,18,Alias Match
1686,Kashmir Gate,1,Kashmere Gate,133,AI Match (88%)
1687,Defence,1,Defence Colony,14,AI Match (100%)
1688,"Maruti Kunja, Gurugram",1,Maruti Kunja Gurugram,Outside,Outside Delhi
1689,Phuspa Bhawan,1,Nill,-,Unmatched
1690,Shaikh Sarai Delhi,1,Nill,-,Unmatched
1691,"Karolbagh, Delhi Metro",1,Nill,-,Unmatched
1692,Harkesh Nagar,1,Harkesh Nagar,272,Exact Ward Match
1693,Ansal Plaza Delhi,1,Nill,-,Unmatched
1694,Sadignagar,1,Nill,-,Unmatched
1695,Saket Court Delhi,1,Saket,16,Alias Match
1696,Khansar,1,Nill,-,Unmatched
1697,Krishna Nagar Home,1,Krishna  Nagar,154,Sub-Ward Match
1698,Nijimudden,1,Nill,-,Unmatched
1699,Swami Nagar Delhi,1,Nill,-,Unmatched
1700,Aayurvigyan Nagar,1,Nill,-,Unmatched
1701,Meerut Uttar Pradesh,1,Meerut Uttar Pradesh,Outside,Outside Delhi
1702,Okhla Phase_1,1,Okhla Industrial Area Phase I,287,Alias Match
1703,Maharali,1,Mehrauli,23,AI Match (75%)
1704,Lajpatnagar Delhi,1,Lajpat Nagar I,3,AI Match (77%)
1705,Nijamuddin Station Delhi,1,Nill,-,Unmatched
1706,Chirag Delhi Song,1,Chirag Delhi,11,Alias Match
1707,Nijimudden Ralve Station,1,Hazrat Nizamuddin Railway Station,14,AI Match (76%)
1708,Aimss,1,AIIMS (Ansari Nagar),218,AI Match (80%)
1709,Karanpura Terminal,1,Nill,-,Unmatched
1710,Safdarganj Terminal,1,Nill,-,Unmatched
1711,Shaikh Sari,1,Sheikh Sarai,11,AI Match (86%)
1712,Near Petrol Pump,1,Nill,-,Unmatched
1713,Define Caloni,1,Nill,-,Unmatched
1714,Nizamuddin Station Delhi,1,Hazrat Nizamuddin,14,Alias Match
1715,Delhi Heart,1,Nill,-,Unmatched
1716,Greenpark Delhi,1,Green Park Extension,8,AI Match (75%)
1717,Mahorali Tarminal,1,Nill,-,Unmatched
1718,Vasant Kung Indrsti Aria,1,Nill,-,Unmatched
1719,Nizamuddin Delhi,1,Hazrat Nizamuddin,14,Alias Match
1720,Sawami Nagar,1,Jamia Nagar,273,AI Match (78%)
1721,Gurugram Haryana,1,Gurugram Haryana,Outside,Outside Delhi
1722,Panchi Colony,1,INA Colony,213,AI Match (75%)
1723,Mahorali Termainal,1,Nill,-,Unmatched
1724,Uttam Nagar Delhi,1,Uttam Nagar,225,Alias Match
1725,Sheik Sarai,1,Sheikh Sarai,11,AI Match (95%)
1726,Om Shree Nayak Hospital,1,Nill,-,Unmatched
1727,Ambedkar Sec_5,1,Nill,-,Unmatched
1728,Rk Palace Delhi,1,Nill,-,Unmatched
1729,Ck Block,1,Nill,-,Unmatched
1730,Basant Lock,1,Nill,-,Unmatched
1731,Gurugram Delhi,1,Gurugram Delhi,Outside,Outside Delhi
1732,Ambedker Nagar,1,Ambedkar Nagar,22,AI Match (92%)
1733,Shaheed Bhagat Singh College,1,Nill,-,Unmatched
1734,Sector 4,1,Vasant Kunj Sector A,274,AI Match (85%)
1735,Kalkaji Kalkaji,1,Kalkaji,13,Alias Match
1736,Lodhie Road,1,Lodhi Road,212,AI Match (95%)
1737,Shabad,1,Nill,-,Unmatched
1738,Shabad Mohamad Pur Village,1,Ali Village,283,AI Match (77%)
1739,Shaybad,1,Nill,-,Unmatched
1740,Shya Bad,1,Nill,-,Unmatched
1741,Shri Fort Road,1,Nill,-,Unmatched
1742,Madangiri Village,1,Madangir,21,Sub-Ward Match
1743,Mohindera Hospital,1,Nill,-,Unmatched
1744,Prajapati Chock,1,Nill,-,Unmatched
1745,Aanad Vihar,1,Anand Vihar,151,AI Match (90%)
1746,Gurugram (Rajiv Chowk),1,Gurugram Rajiv Chowk,Outside,Outside Delhi
1747,Gurugram (Civil Line),1,Gurugram Civil Line,Outside,Outside Delhi
1748,Shaqid Nagar,1,Sadh Nagar,248,AI Match (81%)
1749,Grater Kalas,1,Greater Kailash,9,AI Match (88%)
1750,Hasan Puri,1,Kalyan Puri,219,AI Match (76%)
1751,Madan Giri Delhi,1,Nill,-,Unmatched
1752,Aanadvihar,1,Anand Vihar,151,AI Match (85%)
1753,Madi Pur,1,Madipur,136,AI Match (93%)
1754,Amis,1,Nill,-,Unmatched
1755,Dholakua,1,Nill,-,Unmatched
1756,Pushp Vihar Home,1,Pushp Vihar,16,Alias Match
1757,Greater Kalesh,1,Greater Kailash,9,AI Match (89%)
1758,Chirag Delh,1,Chirag Delhi,14,Sub-Ward Match
1759,Punjab Bagh,1,Punjabi Bagh,141,AI Match (95%)
1760,Andan Vihar,1,Anand Vihar,151,AI Match (90%)
1761,Mandihouse,1,Nill,-,Unmatched
1762,Tees Hajari,1,Nill,-,Unmatched
1763,Gorcity,1,Nill,-,Unmatched
1764,Karimnagar,1,Hari Nagar,206,AI Match (80%)
1765,Ambedkar Nagar Oii,1,Ambedkar Nagar,18,Alias Match
1766,Buradi Sant Nagar,1,Sant Nagar (East of Kailash),10,Alias Match
1767,Firani I Road,1,Nill,-,Unmatched
1768,Bandh Pay,1,Nill,-,Unmatched
1769,Andus Ganj,1,Andrews Ganj,12,AI Match (81%)
1770,Andruj Ganj,1,Andrews Ganj,12,AI Match (78%)
1771,Rajeev Chowk,1,Connaught Place (Rajiv Chowk),211,AI Match (86%)
1772,Tukalkabad,1,Tughlakabad,281,AI Match (76%)
1773,Sangam Vihar Ratiya Marg,1,Sangam Vihar,292,Alias Match
1774,Mulchand Parathe Bali Gali,1,Nill,-,Unmatched
1775,Kutumb Minar,1,Mehrauli (Qutub Minar),278,AI Match (86%)
1776,Ratanpuri,1,Nill,-,Unmatched
1777,Ratiya Marg Road,1,Nill,-,Unmatched
1778,Talimbad,1,Nill,-,Unmatched
1779,Virat Hospital,1,Nill,-,Unmatched
1780,Pratap Nagar,1,Pant Nagar,14,AI Match (81%)
1781,Tees Hazari Court,1,Nill,-,Unmatched
1782,Joseph Broz Tito Marg,1,Nill,-,Unmatched
1783,Somi Nagar,1,Moti Nagar,138,AI Match (80%)
1784,Chauhan Bangar,1,Chauhan Banger,115,AI Match (92%)
1785,Cj Company,1,Nill,-,Unmatched
1786,Kothra Market,1,Khan Market,212,AI Match (83%)
1787,Hudco Place,1,Nill,-,Unmatched
1788,Dda Park,1,Nill,-,Unmatched
1789,Madanganj,1,Malkaganj,130,AI Match (77%)
1790,Hauz Khas Fort,1,Hauz Khas,8,Alias Match
1791,Haus Khas Market,1,Nill,-,Unmatched
1792,Dowarka,1,Dwarka,246,AI Match (92%)
1793,Institutional Area Vasant Kunj,1,Vasant Kunj,274,Alias Match
1794,"Lajpat Nagar, Market",1,Lajpat Nagar,6,Alias Match
1795,Pushpa Bhawan Virat,1,Nill,-,Unmatched
1796,Sport View,1,Nill,-,Unmatched
1797,"Cannought Place, New Delhi",1,Nill,-,Unmatched
1798,Najaggarh,1,Najafgarh,231,AI Match (88%)
1799,"Indira Gandhi Airport, New Delhi",1,Nill,-,Unmatched
1800,Moolchand Nagar Paraanthe Wali Gali,1,Nill,-,Unmatched
1801,"Lajpat Nagar, Metro Station",1,Lajpat Nagar,6,Alias Match
1802,Udai Park,1,Nill,-,Unmatched
1803,Balav Gadh,1,Nill,-,Unmatched
1804,Ratiya Marg Weekly,1,Nill,-,Unmatched
1805,Chilla Gaon,1,Nill,-,Unmatched
1806,Khapur,1,Khanpur,24,AI Match (92%)
1807,Lajpat Nagar Market Mohanlal Sweet,1,Lajpat Nagar,6,Alias Match
1808,Sukhram Road,1,Nill,-,Unmatched
1809,V3S Mall Nirman Vihar,1,Nirman Vihar,227,Alias Match
1810,"Nehru Place, Delhi",1,Nehru Place,13,Alias Match
1811,Zee Tv Hospital,1,Nill,-,Unmatched
1812,"Defence Colony, Delhi",1,Defence Colony,14,Alias Match
1813,Khanpur Tughla,1,Khanpur,26,Alias Match
1814,Sekh Sarai,1,Sheikh Sarai,11,AI Match (90%)
1815,Goutam Budh Nagar,1,Nill,-,Unmatched
1816,Gokalpuri Chor Market,1,Gokalpur,72,Sub-Ward Match
1817,Devri Road,1,Nill,-,Unmatched
1818,Kiwdai Nagar,1,Kidwai Nagar,213,AI Match (91%)
1819,Select City Mall Saket,1,Saket,16,Alias Match
1820,Lado Sarai Furniture Road,1,Nill,-,Unmatched
1821,Humdard Nagar Delhi,1,Nill,-,Unmatched
1822,Chirag Delhi Pocket V,1,Chirag Delhi,11,Alias Match
1823,Lajpat Nagar Market Paratha Wali Gali,1,Lajpat Nagar,6,Alias Match
1824,New Delhi Rpf,1,New Delhi Railway Station,182,AI Match (81%)
1825,Sangam Vihar Thank You,1,Sangam Vihar,292,Alias Match
1826,Saket J Block,1,Saket,16,Alias Match
1827,Lal Kila Fort,1,Nill,-,Unmatched
1828,Chhabri Bazar,1,Nill,-,Unmatched
1829,Khanpur Delhi Work,1,Khanpur,26,Alias Match
1830,Chitranjan Park,1,Chitranjan Park,15,Alias Match
1831,Khanpur Rps Col Colony,1,Khanpur,26,Alias Match
1832,Saket Dakshinpuri,1,Saket,16,Alias Match
1833,Mayur Vihar Phase Iii,1,Mayur Vihar,234,Alias Match
1834,Noida Sector 40,1,Noida Sector 40,Outside,Outside Delhi
1835,Kalka Mandir,1,Nill,-,Unmatched
1836,Shanti Niketan,1,Nill,-,Unmatched
1837,Nevli,1,Deoli,26,AI Match (80%)
1838,Musaddi Chowk,1,Nill,-,Unmatched
1839,Houze Khas,1,Hauz Khas,8,AI Match (84%)
1840,Maidan Giri,1,Nill,-,Unmatched
1841,Krishi Bhawan,1,Nill,-,Unmatched
1842,Ambedkar Nagar Depo,1,Ambedkar Nagar,18,Alias Match
1843,Saket Delhi Work,1,Saket,16,Alias Match
1844,Dewli,1,Deoli,26,AI Match (80%)
1845,Nbcc Pushp Vihar,1,Pushp Vihar,16,Alias Match
1846,Khadar,1,Madanpur Khadar,278,Sub-Ward Match
1847,Khanpur Alternate,1,Khanpur,26,Alias Match
