Sr. No.,OD,Count,Corrected OD,Zone No,Match Status
403,Nheru Place,4,Nehru Place,13,AI Match (90%)
404,Karawal Nagar,4,Karawal Nagar East,53,Sub-Ward Match
405,Gazipur Mandi,4,Nill,-,Unmatched
406,Bhogal,4,Bhogal,14,Alias Match
407,Sarai,4,Sarai Pipal Thala,50,Sub-Ward Match
408,Pushpa Vihar,4,Pushp Vihar,19,AI Match (95%)
409,Mandawali,4,Mandawali,200,Exact Ward Match
410,Sikandarpur Metro Station,4,Nill,-,Unmatched
411,Nadan Nagari,4,Aya Nagar,294,AI Match (76%)
412,Saheen Bagh,4,Shaheen Bagh,273,AI Match (95%)
413,Rajeev Nagar,4,Raj Nagar,262,AI Match (85%)
414,Buradi,4,Burari,32,AI Match (83%)
415,Rk Colony,4,Kailash Colony,9,AI Match (80%)
416,Sikandarpur,4,Nill,-,Unmatched
417,Neeti Bagh,4,Nill,-,Unmatched
418,Mayapuri,4,Manglapuri,246,AI Match (77%)
419,Cannaught Place,4,Connaught Place,211,AI Match (93%)
420,Ekta Vihar,4,Okhla Vihar,273,AI Match (76%)
421,Durgapuri,4,Durga Puri,100,AI Match (94%)
422,Rajori Garden,4,Rajouri Garden,185,AI Match (96%)
423,Difance Colony,4,Defence Colony,14,AI Match (85%)
424,Sector 22,4,Vasant Kunj Sector A,274,AI Match (80%)
425,Ghazipur,4,Nill,-,Unmatched
426,Indraprastha,4,Nill,-,Unmatched
427,Dhola Kuwa,4,Dhaula Kuan,215,AI Match (76%)
428,Dilsad Garden,4,Dilshad Garden,110,AI Match (96%)
429,Nand Nagri,4,Nand Nagri,88,Exact Ward Match
430,Sufdarjung Hospital,4,Safdarjung Hospital,218,AI Match (94%)
431,Sahibabad,4,Sahibabad,Outside,Outside Delhi
432,Chawri Bazar,4,Nill,-,Unmatched
433,Gurgaon Sector 32,4,Gurgaon Sector 32,Outside,Outside Delhi
434,New Delhi Railway Station Gate Number 2,4,New Delhi Railway Station,182,Alias Match
435,Devolli Village,4,Ali Village,283,AI Match (77%)
436,Humdard,4,Nill,-,Unmatched
437,Ambekar Nagar,4,Ambedkar Nagar,22,AI Match (96%)
438,Hamdard,4,Nill,-,Unmatched
439,Vishwavidyalay,4,Nill,-,Unmatched
440,Huda City,4,Nill,-,Unmatched
441,Madipur Jj Colony,4,Madipur,136,Sub-Ward Match
442,Okhala Phase I,4,Okhla Industrial Area Phase I,287,AI Match (88%)
443,Red Fort,4,Red Fort / Chandni Chowk,153,Alias Match
444,Sector 52 Gurgaon,4,Sector 52 Gurgaon,Outside,Outside Delhi
